Id,North_America_Sales,Europe_Sales,Japan_Sales,Other_Sales,Global_Sales
896,41.49,29.02,3.77,8.46,82.74
75,29.08,3.58,6.81,0.77,40.24
898,15.85,12.88,3.79,3.31,35.82
1203,23.2,2.26,4.22,0.58,30.26
449,11.38,9.23,6.5,2.9,30.01
479,14.59,7.06,4.7,2.26,28.62
945,9.81,7.57,4.13,1.92,23.42
799,7.01,9.27,0.97,4.14,21.4
85,9.43,0.4,0.41,10.57,20.81
68,12.78,3.75,3.54,0.55,20.61
881,9.54,3.44,3.84,0.46,17.28
799,9.63,5.31,0.06,1.38,16.38
965,8.41,5.49,0.47,1.78,16.15
293,9.03,4.28,0.13,1.32,14.76
458,9.67,3.73,0.11,1.13,14.64
474,4.99,5.88,0.65,2.52,14.03
474,8.25,4.3,0.07,1.12,13.73
943,8.52,3.63,0.08,1.29,13.51
293,5.54,5.82,0.49,1.62,13.46
1000,6.99,4.51,0.3,1.3,13.1
876,6.75,2.61,2.66,1.02,13.04
458,5.98,4.44,0.48,1.83,12.73
519,4.74,3.91,2.67,0.89,12.21
176,7.97,2.83,0.13,1.21,12.14
799,3.8,5.81,0.36,2.02,11.98
808,6.91,2.85,1.91,0.23,11.89
817,6.16,3.4,1.2,0.76,11.52
171,6.76,3.1,0.14,1.03,11.02
940,4.89,2.99,2.13,0.78,10.79
943,4.99,3.69,0.38,1.63,10.69
171,4.76,3.76,0.44,1.62,10.57
808,5.08,3.11,1.25,0.98,10.42
1142,6.72,2.63,0.04,0.82,10.21
964,7.03,1.98,0.08,0.78,9.88
524,5.55,1.94,2.23,0.15,9.87
606,3.66,3.07,2.47,0.63,9.82
553,6.63,2.36,0.04,0.73,9.76
812,3.01,2.47,3.28,0.96,9.72
1142,4.09,3.73,0.38,1.38,9.59
907,4.36,1.71,3.0,0.23,9.3
925,5.58,2.83,0.02,0.77,9.2
1019,2.01,2.32,4.36,0.41,9.09
830,5.03,2.86,0.1,0.85,8.84
1097,5.8,2.01,0.13,0.15,8.09
173,2.91,2.07,2.73,0.33,8.05
1007,2.28,1.72,3.63,0.23,7.86
591,7.28,0.45,0.0,0.08,7.81
906,3.66,2.42,0.98,0.64,7.69
1196,2.8,3.3,0.14,1.37,7.6
840,4.1,1.89,1.45,0.16,7.6
984,5.39,1.18,0.7,0.19,7.46
1034,3.83,2.19,0.6,0.7,7.31
645,3.27,2.22,1.4,0.29,7.16
1043,3.13,2.07,1.27,0.49,6.96
872,2.47,3.15,0.24,1.1,6.96
1078,4.12,1.77,0.87,0.19,6.95
1463,0.78,4.32,0.07,1.73,6.9
506,2.77,2.8,0.19,1.06,6.83
977,3.23,2.35,0.94,0.3,6.82
1180,4.15,1.92,0.06,0.64,6.76
953,3.27,2.25,0.21,1.0,6.73
901,2.79,2.61,0.17,1.03,6.6
598,3.25,1.84,1.03,0.47,6.59
830,2.55,2.71,0.25,1.05,6.56
462,3.74,0.93,1.69,0.14,6.51
973,2.64,2.56,0.16,1.14,6.5
885,3.64,1.2,1.49,0.07,6.4
901,3.7,1.97,0.09,0.57,6.34
1282,4.01,1.26,0.87,0.17,6.31
771,0.07,6.21,0.0,0.0,6.28
642,3.54,1.9,0.07,0.6,6.11
67,2.45,2.01,0.87,0.72,6.05
1492,4.47,1.2,0.16,0.19,6.03
923,2.63,1.74,0.83,0.83,6.03
846,3.18,1.83,0.78,0.24,6.03
78,2.41,2.28,0.28,1.01,5.99
679,2.8,2.05,0.17,0.9,5.92
1026,1.88,1.47,2.02,0.45,5.82
1203,2.97,0.69,1.81,0.11,5.58
446,2.54,1.95,0.21,0.87,5.57
551,2.95,0.6,1.97,0.04,5.55
971,3.28,1.65,0.07,0.55,5.55
858,2.7,1.91,0.11,0.8,5.53
1199,2.62,1.64,0.99,0.23,5.47
68,3.21,1.11,0.95,0.2,5.46
925,1.97,2.51,0.0,0.94,5.42
973,3.13,1.71,0.03,0.44,5.3
175,1.62,0.77,2.78,0.14,5.3
446,3.1,1.56,0.08,0.51,5.27
1110,1.22,2.48,1.03,0.52,5.26
881,2.93,1.25,0.83,0.2,5.2
511,2.1,0.74,2.2,0.11,5.15
1221,0.96,2.02,1.89,0.28,5.15
1024,2.71,0.61,1.7,0.11,5.13
1196,3.21,1.53,0.01,0.38,5.13
926,1.96,1.43,1.08,0.65,5.11
799,2.66,2.01,0.0,0.41,5.08
75,3.4,1.3,0.15,0.22,5.07
1141,2.05,1.16,1.11,0.73,5.05
639,3.49,0.01,0.01,1.48,4.98
936,3.39,1.03,0.09,0.44,4.96
937,2.31,1.73,0.12,0.78,4.94
971,1.91,2.0,0.09,0.83,4.83
1178,2.57,1.57,0.44,0.21,4.79
858,2.99,1.31,0.04,0.41,4.76
1350,1.87,1.12,1.32,0.37,4.68
1460,1.94,1.95,0.08,0.7,4.67
1213,2.29,1.97,0.13,0.24,4.63
639,3.06,1.12,0.0,0.44,4.62
874,2.42,0.91,1.15,0.13,4.61
668,1.78,1.39,1.1,0.3,4.58
1121,1.55,1.15,1.44,0.43,4.57
78,1.78,1.87,0.07,0.82,4.55
639,3.19,0.92,0.01,0.42,4.53
658,1.96,1.69,0.08,0.74,4.47
1196,1.54,1.94,0.19,0.77,4.45
788,2.71,1.29,0.02,0.43,4.45
1008,2.82,1.05,0.13,0.4,4.39
313,2.19,0.5,1.61,0.08,4.38
1411,1.73,1.73,0.14,0.75,4.35
890,3.03,0.91,0.26,0.13,4.34
962,2.2,0.58,1.38,0.17,4.33
1463,0.92,2.93,0.01,0.46,4.31
1196,2.75,1.18,0.0,0.37,4.31
1275,2.51,1.27,0.11,0.41,4.31
1235,2.64,1.2,0.03,0.39,4.26
505,2.11,1.11,0.72,0.3,4.25
97,2.23,1.34,0.07,0.61,4.25
883,1.46,0.0,0.83,1.93,4.23
840,2.03,1.27,0.62,0.3,4.21
873,1.3,2.07,0.18,0.65,4.2
102,4.03,0.0,0.09,0.0,4.12
992,1.65,0.61,1.76,0.09,4.12
1423,1.42,0.51,2.1,0.07,4.1
872,2.45,1.26,0.01,0.37,4.09
818,2.65,1.06,0.04,0.33,4.08
467,2.32,0.04,0.04,1.67,4.07
546,1.12,2.12,0.1,0.69,4.03
925,1.38,1.87,0.12,0.65,4.02
936,2.15,1.2,0.07,0.59,4.01
854,2.67,0.89,0.05,0.37,3.99
1330,0.67,0.49,2.62,0.11,3.89
830,1.15,2.09,0.0,0.64,3.88
970,2.21,0.96,0.54,0.13,3.83
286,2.26,0.48,0.81,0.27,3.83
892,1.49,1.58,0.1,0.61,3.79
1449,1.4,1.4,0.1,0.87,3.77
1089,1.98,0.88,0.59,0.32,3.76
827,0.96,2.0,0.21,0.56,3.73
575,1.3,0.77,1.54,0.11,3.72
314,1.3,1.51,0.27,0.61,3.69
472,1.87,1.13,0.55,0.1,3.65
1142,1.78,1.42,0.05,0.38,3.63
834,2.08,0.83,0.46,0.25,3.62
1333,1.28,1.61,0.15,0.57,3.61
1303,1.93,1.22,0.03,0.44,3.61
1414,2.02,1.17,0.0,0.42,3.61
1092,2.18,1.02,0.03,0.37,3.59
314,2.14,1.08,0.02,0.29,3.53
1061,2.66,0.5,0.05,0.3,3.52
926,2.11,0.94,0.12,0.34,3.51
97,2.2,0.97,0.02,0.31,3.5
1215,2.09,1.02,0.04,0.32,3.48
181,0.88,1.75,0.1,0.72,3.45
569,2.39,0.73,0.03,0.29,3.44
1424,1.55,1.27,0.33,0.29,3.44
314,1.34,1.54,0.17,0.38,3.43
1300,0.86,0.0,2.55,0.02,3.42
81,1.08,1.35,0.48,0.47,3.38
76,1.9,0.67,0.73,0.06,3.36
749,0.65,1.61,0.82,0.28,3.36
509,1.99,1.05,0.05,0.22,3.31
621,0.8,1.92,0.06,0.5,3.28
1120,1.48,1.01,0.04,0.66,3.19
818,1.52,1.08,0.1,0.47,3.17
1266,1.92,0.16,0.99,0.09,3.15
1124,1.22,1.57,0.06,0.29,3.15
495,0.88,0.97,0.88,0.42,3.15
572,1.89,0.99,0.03,0.24,3.15
1008,1.69,0.87,0.14,0.42,3.12
468,1.99,0.82,0.03,0.27,3.11
877,1.89,0.91,0.04,0.24,3.07
956,1.4,0.99,0.46,0.22,3.07
289,1.94,0.86,0.03,0.24,3.07
181,1.38,1.35,0.02,0.28,3.04
712,1.94,0.8,0.02,0.27,3.03
315,1.15,0.0,0.76,1.09,3.0
88,1.36,0.86,0.64,0.13,2.99
1215,1.33,1.12,0.08,0.45,2.97
545,0.96,1.72,0.0,0.29,2.97
560,1.57,0.04,1.19,0.15,2.96
933,1.83,0.8,0.03,0.27,2.93
1324,0.87,1.06,0.73,0.26,2.92
992,1.75,0.45,0.62,0.09,2.91
1463,0.61,1.85,0.11,0.33,2.9
1142,1.87,0.77,0.0,0.22,2.86
585,2.09,0.63,0.03,0.11,2.86
1140,1.98,0.55,0.0,0.32,2.85
845,1.65,0.86,0.05,0.28,2.83
921,1.96,0.67,0.1,0.09,2.82
1442,1.05,1.25,0.03,0.48,2.81
595,1.74,0.8,0.0,0.26,2.8
1498,1.45,0.88,0.09,0.38,2.79
1392,1.2,0.98,0.17,0.43,2.78
1262,1.24,1.2,0.04,0.3,2.77
1048,1.25,1.15,0.07,0.3,2.77
1379,1.49,0.93,0.02,0.27,2.71
874,1.75,0.52,0.33,0.1,2.7
593,1.47,0.76,0.0,0.47,2.7
696,1.46,0.98,0.0,0.24,2.68
1269,0.78,0.75,0.89,0.26,2.68
1140,1.95,0.63,0.0,0.09,2.67
679,0.64,1.24,0.01,0.69,2.58
1042,1.76,0.56,0.03,0.22,2.57
1150,1.13,1.12,0.06,0.22,2.52
1264,1.28,0.14,1.08,0.01,2.5
1048,0.86,1.06,0.18,0.39,2.49
1224,1.29,0.97,0.0,0.23,2.49
1353,1.13,0.36,0.92,0.07,2.47
720,0.0,0.0,2.43,0.02,2.45
643,0.93,0.12,1.34,0.06,2.45
925,1.43,0.76,0.0,0.22,2.41
1003,1.07,0.87,0.04,0.4,2.39
790,1.0,0.76,0.26,0.36,2.38
83,2.28,0.02,0.08,0.0,2.37
705,0.69,0.14,1.48,0.05,2.36
1224,1.07,1.05,0.0,0.23,2.35
980,1.14,0.54,0.47,0.17,2.32
1490,0.79,1.35,0.04,0.14,2.32
1125,0.28,0.0,2.02,0.01,2.31
630,1.24,0.85,0.0,0.21,2.3
1184,1.23,0.68,0.04,0.34,2.29
595,1.01,0.9,0.0,0.37,2.28
877,1.05,0.77,0.1,0.36,2.28
639,1.4,0.54,0.02,0.3,2.26
1379,1.19,0.84,0.0,0.23,2.26
834,1.34,0.57,0.14,0.21,2.26
925,0.28,0.79,0.87,0.32,2.25
466,1.48,0.25,0.46,0.06,2.25
675,1.19,0.71,0.22,0.13,2.24
620,0.88,1.03,0.0,0.31,2.22
1385,1.71,0.32,0.02,0.18,2.22
1442,1.03,0.98,0.0,0.21,2.22
485,1.45,0.55,0.02,0.19,2.21
1386,1.78,0.24,0.0,0.18,2.2
681,1.11,0.51,0.34,0.23,2.2
989,1.28,0.68,0.02,0.21,2.2
558,1.68,0.44,0.0,0.08,2.19
907,1.04,0.72,0.3,0.13,2.19
1039,0.66,0.0,1.45,0.03,2.14
1300,0.91,0.05,1.07,0.09,2.12
569,1.2,0.62,0.0,0.29,2.11
1140,1.63,0.33,0.0,0.15,2.11
789,1.41,0.51,0.01,0.17,2.1
496,0.99,0.63,0.29,0.19,2.09
623,0.46,0.42,0.96,0.25,2.09
696,0.79,0.94,0.0,0.35,2.08
839,0.75,0.54,0.54,0.23,2.07
1318,1.16,0.06,0.83,0.0,2.05
1434,1.75,0.25,0.0,0.05,2.05
907,1.2,0.48,0.29,0.07,2.04
904,1.05,0.67,0.0,0.3,2.02
1333,1.2,0.62,0.0,0.18,2.01
630,0.77,0.85,0.01,0.37,2.0
930,0.89,0.45,0.53,0.13,2.0
314,1.25,0.58,0.0,0.16,1.98
495,1.11,0.63,0.07,0.16,1.98
947,0.71,0.58,0.51,0.17,1.97
849,1.22,0.57,0.02,0.15,1.96
1396,0.74,1.01,0.0,0.2,1.95
85,1.26,0.61,0.0,0.09,1.95
1003,1.15,0.61,0.0,0.17,1.93
1421,1.51,0.0,0.29,0.12,1.93
710,0.92,0.53,0.41,0.06,1.92
1354,0.72,0.16,1.01,0.02,1.91
595,1.14,0.57,0.0,0.19,1.91
1082,0.59,0.92,0.06,0.32,1.9
598,0.73,0.62,0.4,0.12,1.87
1182,0.87,0.52,0.41,0.06,1.86
1107,0.62,0.42,0.69,0.12,1.86
968,0.97,0.34,0.35,0.18,1.84
677,0.46,1.02,0.07,0.28,1.83
1239,0.25,0.07,1.49,0.02,1.83
530,0.55,0.84,0.11,0.31,1.81
1150,1.1,0.51,0.12,0.08,1.81
317,0.52,0.88,0.06,0.34,1.79
718,0.45,0.94,0.06,0.33,1.78
1509,0.41,0.46,0.72,0.19,1.78
1175,0.85,0.31,0.56,0.04,1.76
849,0.72,0.69,0.04,0.31,1.76
885,0.9,0.37,0.25,0.24,1.75
1303,1.24,0.45,0.0,0.07,1.75
1274,0.94,0.34,0.21,0.27,1.75
537,0.79,0.14,0.8,0.02,1.75
650,0.63,0.49,0.45,0.17,1.74
789,0.83,0.63,0.02,0.25,1.74
631,0.96,0.61,0.01,0.16,1.74
82,0.64,0.68,0.14,0.26,1.73
882,1.06,0.52,0.01,0.14,1.73
293,0.41,0.98,0.0,0.33,1.72
1375,0.99,0.64,0.0,0.08,1.71
712,0.88,0.54,0.02,0.25,1.69
1105,1.01,0.53,0.01,0.14,1.69
1042,0.96,0.44,0.08,0.22,1.69
1218,0.98,0.52,0.0,0.19,1.69
834,0.98,0.42,0.22,0.06,1.69
673,0.9,0.64,0.0,0.15,1.68
177,1.18,0.27,0.17,0.06,1.68
1092,1.22,0.39,0.0,0.06,1.67
1082,0.86,0.64,0.01,0.14,1.66
1370,0.96,0.12,0.54,0.04,1.66
1454,1.54,0.1,0.0,0.02,1.65
1326,0.54,0.88,0.0,0.22,1.64
985,0.44,0.89,0.05,0.25,1.64
458,0.58,0.81,0.0,0.24,1.63
914,0.6,0.73,0.02,0.28,1.63
718,0.59,0.85,0.02,0.17,1.62
546,0.79,0.68,0.01,0.13,1.61
875,0.71,0.48,0.3,0.1,1.6
1225,0.19,0.02,1.36,0.02,1.6
1034,1.15,0.36,0.04,0.04,1.59
993,0.58,0.46,0.34,0.21,1.59
1224,0.95,0.5,0.0,0.14,1.59
483,0.47,0.8,0.03,0.29,1.58
1493,0.94,0.49,0.0,0.15,1.58
1477,1.32,0.19,0.0,0.05,1.56
806,0.58,0.44,0.33,0.21,1.56
630,0.59,0.75,0.01,0.21,1.56
882,0.72,0.54,0.04,0.25,1.55
485,0.85,0.47,0.02,0.22,1.55
775,0.8,0.53,0.0,0.22,1.55
1163,0.6,0.51,0.21,0.23,1.55
1381,0.58,0.87,0.0,0.09,1.54
474,0.63,0.69,0.0,0.21,1.53
1293,0.57,0.79,0.0,0.17,1.53
1393,1.19,0.29,0.0,0.05,1.53
751,0.73,0.52,0.15,0.12,1.52
983,0.94,0.45,0.0,0.13,1.52
1379,0.6,0.63,0.03,0.26,1.52
555,0.93,0.15,0.42,0.01,1.51
1293,0.35,0.03,0.0,1.13,1.51
1077,1.0,0.36,0.09,0.05,1.5
1386,1.13,0.2,0.0,0.16,1.5
709,0.82,0.36,0.25,0.06,1.49
468,0.78,0.47,0.03,0.2,1.48
1481,0.82,0.59,0.0,0.07,1.48
798,0.45,0.4,0.44,0.18,1.47
1125,0.69,0.2,0.49,0.09,1.47
775,0.95,0.4,0.0,0.12,1.47
289,0.63,0.59,0.03,0.21,1.46
673,0.94,0.4,0.0,0.11,1.46
892,0.86,0.46,0.0,0.13,1.45
845,0.75,0.49,0.01,0.21,1.45
546,0.33,0.79,0.08,0.23,1.44
1376,1.23,0.07,0.02,0.11,1.44
983,0.73,0.5,0.0,0.21,1.44
958,0.89,0.22,0.22,0.1,1.42
914,0.71,0.57,0.0,0.14,1.42
74,0.57,0.12,0.71,0.02,1.42
904,0.89,0.4,0.0,0.13,1.42
590,0.97,0.34,0.0,0.11,1.41
458,0.82,0.47,0.0,0.12,1.4
1300,0.0,0.0,1.39,0.01,1.4
314,0.38,0.86,0.0,0.16,1.4
601,0.5,0.6,0.07,0.23,1.39
1434,1.19,0.16,0.0,0.03,1.39
601,0.76,0.48,0.02,0.12,1.39
631,0.74,0.5,0.01,0.13,1.37
1224,0.55,0.6,0.0,0.22,1.37
1011,0.66,0.51,0.05,0.13,1.35
593,1.0,0.21,0.0,0.13,1.35
993,0.79,0.34,0.08,0.13,1.35
1334,0.7,0.5,0.02,0.12,1.35
1393,1.03,0.27,0.0,0.04,1.34
582,0.65,0.51,0.0,0.17,1.34
1101,0.87,0.35,0.07,0.04,1.33
491,0.4,0.36,0.4,0.17,1.32
962,0.52,0.43,0.18,0.19,1.32
1511,0.69,0.52,0.0,0.11,1.32
1392,0.71,0.42,0.05,0.13,1.31
1334,0.45,0.57,0.06,0.21,1.3
1105,0.56,0.44,0.09,0.21,1.3
